31 w= 9 d= 13 c= 24 l= 1 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 19 ex= 1875 xn= 13 wv= 0 bu= 19 cu= 9 pu= 21 vs= 0 s= 0 / 1000
32 w= 56 d= 2526 c= 10899 l= 195631296 p= 16382 b= 2048 ch= 4096 tc=  0.0040 tb=  0.0276 dp= 0 cp= 0 mlc= 3475 mld= 4059 mn= 4440 ex= 56260 xn= 139 wv= 8170 bu= 1309 cu= 3689 pu= 14638 vs= 31184 s= 1018 / 1000
33 w= 12 d= 55 c= 118 l= 15 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 40 mld= 65 mn= 74 ex= 2526 xn= 27 wv= 49 bu= 37 cu= 30 pu= 97 vs= 3462 s= 0 / 1000
34 w= 19 d= 71 c= 162 l= 24 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 42 mld= 72 mn= 101 ex= 6107 xn= 39 wv= 60 bu= 49 cu= 36 pu= 138 vs= 5337 s= 12 / 1000
35 w= 9 d= 29 c= 59 l= 6 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 45 ex= 3423 xn= 19 wv= 0 bu= 25 cu= 19 pu= 56 vs= 0 s= 0 / 1000
36 w= 12 d= 33 c= 66 l= 12 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 25 mld= 44 mn= 44 ex= 6567 xn= 24 wv= 27 bu= 33 cu= 27 pu= 61 vs= 3330 s= 0 / 1000
37 w= 10 d= 69 c= 186 l= 9 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 88 ex= 3502 xn= 23 wv= 0 bu= 37 cu= 33 pu= 123 vs= 0 s= 0 / 1000
38 w= 11 d= 46 c= 102 l= 18 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 40 mld= 65 mn= 65 ex= 7242 xn= 26 wv= 34 bu= 37 cu= 34 pu= 81 vs= 2845 s= 0 / 1000
39 w= 8 d= 31 c= 60 l= 4 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 37 ex= 2318 xn= 13 wv= 0 bu= 22 cu= 15 pu= 47 vs= 0 s= 0 / 1000
40 w= 18 d= 145 c= 369 l= 46 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 137 mld= 191 mn= 219 ex= 10190 xn= 41 wv= 146 bu= 78 cu= 80 pu= 286 vs= 5814 s= 0 / 1000
41 w= 15 d= 241 c= 766 l= 79 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 258 mld= 350 mn= 339 ex= 6174 xn= 45 wv= 357 bu= 89 cu= 133 pu= 582 vs= 5390 s= 0 / 1000
42 w= 30 d= 1222 c= 5298 l= 21758 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0159 dp= 0 cp= 0 mlc= 1017 mld= 1245 mn= 2164 ex= 26593 xn= 85 wv= 2443 bu= 487 cu= 902 pu= 2886 vs= 19110 s= 0 / 1000
43 w= 23 d= 478 c= 1457 l= 38 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 352 mld= 499 mn= 694 ex= 8519 xn= 54 wv= 1199 bu= 114 cu= 115 pu= 1717 vs= 11330 s= 0 / 1000
44 w= 40 d= 5631 c= 29037 l= 38207664 p= 32764 b= 2048 ch= 5120 tc=  0.0160 tb=  0.0239 dp= 0 cp= 0 mlc= 7988 mld= 8831 mn= 10466 ex= 41952 xn= 100 wv= 10185 bu= 1420 cu= 4330 pu= 18030 vs= 49616 s= 984 / 1000
45 w= 11 d= 62 c= 139 l= 54 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 76 mld= 106 mn= 94 ex= 8248 xn= 20 wv= 50 bu= 46 cu= 63 pu= 134 vs= 2870 s= 0 / 1000
46 w= 17 d= 762 c= 2486 l= 55992 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0080 dp= 0 cp= 0 mlc= 849 mld= 1045 mn= 1183 ex= 19155 xn= 53 wv= 803 bu= 274 cu= 741 pu= 1282 vs= 9088 s= 0 / 1000
